"Xkm" "Ykm" "Elev"
 130.000000 4580.00000 156.500000
 150.000000 4580.00000 94.9000015
 170.000000 4580.00000 35.4000015
 190.000000 4580.00000 39.7000008
 210.000000 4580.00000 35.2999992
 230.000000 4580.00000 24.3999996
 250.000000 4580.00000 15.6000004
 270.000000 4580.00000 11.1000004
 290.000000 4580.00000 3.79999995
 310.000000 4580.00000 0.00000000E+00
 330.000000 4580.00000 0.100000001
 350.000000 4580.00000 5.50000000
 370.000000 4580.00000 4.59999990
 390.000000 4580.00000 0.00000000E+00
 410.000000 4580.00000 1.10000002
 430.000000 4580.00000 0.00000000E+00
 450.000000 4580.00000 0.00000000E+00
 130.000000 4600.00000 168.300003
 150.000000 4600.00000 149.699997
 170.000000 4600.00000 116.900002
 190.000000 4600.00000 94.5999985
 210.000000 4600.00000 100.300003
 230.000000 4600.00000 106.199997
 250.000000 4600.00000 62.9000015
 270.000000 4600.00000 77.6999969
 290.000000 4600.00000 41.0999985
 310.000000 4600.00000 11.1000004
 330.000000 4600.00000 11.6000004
 350.000000 4600.00000 0.800000012
 370.000000 4600.00000 4.09999990
 390.000000 4600.00000 0.100000001
 410.000000 4600.00000 0.00000000E+00
 430.000000 4600.00000 0.00000000E+00
 450.000000 4600.00000 0.00000000E+00
 130.000000 4620.00000 213.899994
 150.000000 4620.00000 244.100006
 170.000000 4620.00000 160.800003
 190.000000 4620.00000 49.7999992
 210.000000 4620.00000 140.500000
 230.000000 4620.00000 123.099998
 250.000000 4620.00000 93.0999985
 270.000000 4620.00000 139.000000
 290.000000 4620.00000 62.5000000
 310.000000 4620.00000 11.3000002
 330.000000 4620.00000 35.9000015
 350.000000 4620.00000 11.1000004
 370.000000 4620.00000 21.3999996
 390.000000 4620.00000 7.19999981
 410.000000 4620.00000 7.00000000
 430.000000 4620.00000 0.300000012
 450.000000 4620.00000 0.00000000E+00
 130.000000 4640.00000 276.799988
 150.000000 4640.00000 344.299988
 170.000000 4640.00000 218.000000
 190.000000 4640.00000 56.9000015
 210.000000 4640.00000 111.500000
 230.000000 4640.00000 181.199997
 250.000000 4640.00000 158.500000
 270.000000 4640.00000 162.199997
 290.000000 4640.00000 91.5000000
 310.000000 4640.00000 32.7000008
 330.000000 4640.00000 20.1000004
 350.000000 4640.00000 28.7000008
 370.000000 4640.00000 14.5000000
 390.000000 4640.00000 0.00000000E+00
 410.000000 4640.00000 3.00000000
 430.000000 4640.00000 0.100000001
 450.000000 4640.00000 0.00000000E+00
 130.000000 4660.00000 298.299988
 150.000000 4660.00000 367.399994
 170.000000 4660.00000 320.299988
 190.000000 4660.00000 88.4000015
 210.000000 4660.00000 87.3000031
 230.000000 4660.00000 245.600006
 250.000000 4660.00000 196.699997
 270.000000 4660.00000 168.699997
 290.000000 4660.00000 92.0999985
 310.000000 4660.00000 68.0999985
 330.000000 4660.00000 43.4000015
 350.000000 4660.00000 23.0000000
 370.000000 4660.00000 0.600000024
 390.000000 4660.00000 0.100000001
 410.000000 4660.00000 1.89999998
 430.000000 4660.00000 0.00000000E+00
 450.000000 4660.00000 0.00000000E+00
 130.000000 4680.00000 295.299988
 150.000000 4680.00000 408.000000
 170.000000 4680.00000 391.500000
 190.000000 4680.00000 143.899994
 210.000000 4680.00000 91.1999969
 230.000000 4680.00000 194.100006
 250.000000 4680.00000 248.199997
 270.000000 4680.00000 176.199997
 290.000000 4680.00000 101.900002
 310.000000 4680.00000 52.0000000
 330.000000 4680.00000 28.3999996
 350.000000 4680.00000 9.50000000
 370.000000 4680.00000 0.00000000E+00
 390.000000 4680.00000 0.00000000E+00
 410.000000 4680.00000 0.00000000E+00
 430.000000 4680.00000 0.00000000E+00
 450.000000 4680.00000 0.00000000E+00
 130.000000 4700.00000 313.200012
 150.000000 4700.00000 412.299988
 170.000000 4700.00000 438.100006
 190.000000 4700.00000 272.799988
 210.000000 4700.00000 135.000000
 230.000000 4700.00000 226.000000
 250.000000 4700.00000 284.700012
 270.000000 4700.00000 193.300003
 290.000000 4700.00000 91.5000000
 310.000000 4700.00000 52.2999992
 330.000000 4700.00000 20.5000000
 350.000000 4700.00000 1.79999995
 370.000000 4700.00000 0.00000000E+00
 390.000000 4700.00000 0.00000000E+00
 410.000000 4700.00000 0.00000000E+00
 430.000000 4700.00000 0.00000000E+00
 450.000000 4700.00000 0.00000000E+00
 130.000000 4720.00000 280.200012
 150.000000 4720.00000 453.600006
 170.000000 4720.00000 502.600006
 190.000000 4720.00000 325.000000
 210.000000 4720.00000 155.300003
 230.000000 4720.00000 250.500000
 250.000000 4720.00000 320.100006
 270.000000 4720.00000 216.000000
 290.000000 4720.00000 83.9000015
 310.000000 4720.00000 48.0999985
 330.000000 4720.00000 35.5999985
 350.000000 4720.00000 13.5000000
 370.000000 4720.00000 3.29999995
 390.000000 4720.00000 0.00000000E+00
 410.000000 4720.00000 0.00000000E+00
 430.000000 4720.00000 0.00000000E+00
 450.000000 4720.00000 0.00000000E+00
 130.000000 4740.00000 329.500000
 150.000000 4740.00000 392.100006
 170.000000 4740.00000 539.000000
 190.000000 4740.00000 438.000000
 210.000000 4740.00000 209.000000
 230.000000 4740.00000 278.899994
 250.000000 4740.00000 341.700012
 270.000000 4740.00000 270.500000
 290.000000 4740.00000 81.4000015
 310.000000 4740.00000 71.0000000
 330.000000 4740.00000 41.0999985
 350.000000 4740.00000 6.80000019
 370.000000 4740.00000 0.00000000E+00
 390.000000 4740.00000 0.00000000E+00
 410.000000 4740.00000 0.00000000E+00
 430.000000 4740.00000 0.00000000E+00
 450.000000 4740.00000 0.00000000E+00
 130.000000 4760.00000 152.899994
 150.000000 4760.00000 260.700012
 170.000000 4760.00000 687.799988
 190.000000 4760.00000 531.000000
 210.000000 4760.00000 223.800003
 230.000000 4760.00000 265.299988
 250.000000 4760.00000 382.100006
 270.000000 4760.00000 260.799988
 290.000000 4760.00000 126.099998
 310.000000 4760.00000 107.699997
 330.000000 4760.00000 51.2999992
 350.000000 4760.00000 14.3999996
 370.000000 4760.00000 0.00000000E+00
 390.000000 4760.00000 0.00000000E+00
 410.000000 4760.00000 0.00000000E+00
 430.000000 4760.00000 0.00000000E+00
 450.000000 4760.00000 0.00000000E+00
 130.000000 4780.00000 131.899994
 150.000000 4780.00000 301.399994
 170.000000 4780.00000 582.799988
 190.000000 4780.00000 465.399994
 210.000000 4780.00000 300.500000
 230.000000 4780.00000 323.399994
 250.000000 4780.00000 414.399994
 270.000000 4780.00000 237.399994
 290.000000 4780.00000 144.100006
 310.000000 4780.00000 161.100006
 330.000000 4780.00000 99.0999985
 350.000000 4780.00000 24.8999996
 370.000000 4780.00000 13.5000000
 390.000000 4780.00000 0.00000000E+00
 410.000000 4780.00000 0.00000000E+00
 430.000000 4780.00000 0.00000000E+00
 450.000000 4780.00000 0.00000000E+00
 130.000000 4800.00000 92.6999969
 150.000000 4800.00000 272.299988
 170.000000 4800.00000 501.000000
 190.000000 4800.00000 544.900024
 210.000000 4800.00000 318.799988
 230.000000 4800.00000 302.500000
 250.000000 4800.00000 390.899994
 270.000000 4800.00000 254.500000
 290.000000 4800.00000 161.600006
 310.000000 4800.00000 205.899994
 330.000000 4800.00000 170.100006
 350.000000 4800.00000 86.8000031
 370.000000 4800.00000 32.7000008
 390.000000 4800.00000 1.39999998
 410.000000 4800.00000 0.00000000E+00
 430.000000 4800.00000 0.00000000E+00
 450.000000 4800.00000 0.00000000E+00
 130.000000 4820.00000 183.899994
 150.000000 4820.00000 149.899994
 170.000000 4820.00000 372.799988
 190.000000 4820.00000 536.299988
 210.000000 4820.00000 415.899994
 230.000000 4820.00000 304.899994
 250.000000 4820.00000 402.700012
 270.000000 4820.00000 301.500000
 290.000000 4820.00000 210.899994
 310.000000 4820.00000 251.500000
 330.000000 4820.00000 219.300003
 350.000000 4820.00000 166.300003
 370.000000 4820.00000 66.5999985
 390.000000 4820.00000 14.0000000
 410.000000 4820.00000 0.200000003
 430.000000 4820.00000 0.00000000E+00
 450.000000 4820.00000 0.00000000E+00
 130.000000 4840.00000 305.000000
 150.000000 4840.00000 124.800003
 170.000000 4840.00000 259.000000
 190.000000 4840.00000 573.700012
 210.000000 4840.00000 433.700012
 230.000000 4840.00000 245.699997
 250.000000 4840.00000 356.299988
